DATE      	FRAC INTERCEP  	AG RES BIOMASS 	BG RES BIOMASS 	ROOT RES BIOMASS	SFC MANURE C   	AG RES N       	BG RES N       	ROOT RES N     	SFC MANURE N   	STD RES MOIST  	FLAT RES MOIST 
2000-06-12	0.2516         	0.7446         	1.3805         	0.3900         	0.00000        	0.00557        	0.01022        	0.00383        	0.00000        	0.00000        	0.00000        
2000-06-13	0.2512         	0.7183         	1.3333         	0.3786         	0.00000        	0.00537        	0.00987        	0.00372        	0.00000        	0.00000        	0.00000        
2000-06-14	0.2435         	0.6966         	1.2937         	0.3687         	0.00000        	0.00521        	0.00958        	0.00362        	0.00000        	0.00000        	0.00000        
2000-06-15	0.2371         	0.6813         	1.2647         	0.3606         	0.00000        	0.00510        	0.00937        	0.00354        	0.00000        	0.00000        	0.46627        
2000-06-16	0.2325         	0.6662         	1.2367         	0.3531         	0.00000        	0.00498        	0.00916        	0.00347        	0.00000        	0.00000        	0.00000        
2000-06-17	0.2280         	0.6484         	1.2046         	0.3449         	0.00000        	0.00485        	0.00892        	0.00339        	0.00000        	0.00000        	0.00000        
2000-06-18	0.2227         	0.6272         	1.1660         	0.3356         	0.00000        	0.00469        	0.00863        	0.00330        	0.00000        	0.00000        	0.00000        
2000-06-19	0.2162         	0.6060         	1.1276         	0.3261         	0.00000        	0.00453        	0.00835        	0.00320        	0.00000        	0.00000        	0.00000        
2000-06-20	0.2098         	0.5891         	1.0967         	0.3181         	0.00000        	0.00441        	0.00812        	0.00312        	0.00000        	0.00000        	0.00000        
2000-06-21	0.2046         	0.5740         	1.0686         	0.3106         	0.00000        	0.00429        	0.00791        	0.00305        	0.00000        	0.00000        	0.00000        
2000-06-22	0.1999         	0.5577         	1.0385         	0.3027         	0.00000        	0.00417        	0.00769        	0.00297        	0.00000        	0.00000        	0.00000        
2000-06-23	0.1948         	0.5402         	1.0069         	0.2949         	0.00000        	0.00404        	0.00746        	0.00290        	0.00000        	0.00000        	0.00000        
2000-06-24	0.1893         	0.5233         	0.9761         	0.2870         	0.00000        	0.00392        	0.00723        	0.00282        	0.00000        	0.00000        	0.00000        
2000-06-25	0.1840         	0.5072         	0.9462         	0.2792         	0.00000        	0.00379        	0.00701        	0.00274        	0.00000        	0.00000        	0.00000        
2000-06-26	0.1788         	0.4896         	0.9155         	0.2724         	0.00000        	0.00366        	0.00678        	0.00268        	0.00000        	0.00000        	0.00000        
2000-06-27	0.1732         	0.4719         	0.8842         	0.2664         	0.00000        	0.00353        	0.00655        	0.00262        	0.00000        	0.00000        	0.15106        
2000-06-28	0.1675         	0.4549         	0.8532         	0.2596         	0.00000        	0.00340        	0.00632        	0.00255        	0.00000        	0.00000        	0.14779        
2000-06-29	0.1620         	0.4397         	0.8250         	0.2527         	0.00000        	0.00329        	0.00611        	0.00248        	0.00000        	0.00000        	0.14353        
2000-06-30	0.1570         	0.4258         	0.7992         	0.2459         	0.00000        	0.00319        	0.00592        	0.00242        	0.00000        	0.00000        	0.56500        
2000-07-01	0.1525         	0.4135         	0.7761         	0.2396         	0.00000        	0.00309        	0.00575        	0.00235        	0.00000        	0.00000        	0.48266        
2000-07-02	0.1484         	0.4020         	0.7545         	0.2335         	0.00000        	0.00301        	0.00559        	0.00229        	0.00000        	0.00000        	0.42556        
2000-07-03	0.1446         	0.3912         	0.7337         	0.2275         	0.00000        	0.00293        	0.00543        	0.00224        	0.00000        	0.00000        	0.38737        
2000-07-04	0.1410         	0.3806         	0.7130         	0.2216         	0.00000        	0.00285        	0.00528        	0.00218        	0.00000        	0.00000        	0.37154        
